State/Territory,City/Town,Guide type,Suggested URL slug,Priority tier,Launch angle,First mapping missions,Status
ACT,Canberra,Capital,/guides/act/canberra-accessibility-guide,Capital launch,"A compact capital where accessible outings often depend on linking bus, light rail, museums, civic precincts and lakeside paths into one predictable day.",Map the National Triangle accessible entrances and toilets.; Verify light rail to museum and civic precinct routes.; Create a sensory-friendly Canberra half-day itinerary.,Capital starter guide drafted
NSW,Sydney,Capital,/guides/nsw/sydney-accessibility-guide,Capital launch,"Australia’s largest visitor city needs a guide that separates broad accessibility claims from the real details: lifts, gradients, wharves, station exits, toilets, crowds and event-day detours.","Audit Circular Quay to Opera House and Royal Botanic Garden paths.; Map step-free routes around Central, Town Hall and Barangaroo.; Create a beach-access mini-guide covering mats, beach wheelchairs and nearby toilets.",Capital starter guide drafted
VIC,Melbourne,Capital,/guides/vic/melbourne-accessibility-guide,Capital launch,"Melbourne needs an access guide that explains the practical difference between trains, buses, trams, level-access stops, laneways, event crowds and CBD mobility maps.",Build a CBD mobility loop from Southern Cross to Federation Square.; Verify accessible laneway dining routes.; Map quiet exits and low-crowd alternatives around major venues.,Capital starter guide drafted
QLD,Brisbane,Capital,/guides/qld/brisbane-accessibility-guide,Capital launch,"A river city guide should connect trains, buses, CityCat-style river travel, bridges, South Bank, hospitals and event venues with heat-aware access planning.","Create a South Bank accessible day route.; Map Roma Street and CBD interchange access details.; Verify riverfront access with heat, shade and seating notes.",Capital starter guide drafted
SA,Adelaide,Capital,/guides/sa/adelaide-accessibility-guide,Capital launch,"Adelaide’s grid, parklands and festival calendar make it a strong guide for cultural access, quiet routes, tram/train/bus links and regional visitor planning.",Map an Adelaide Festival access route.; Verify Rundle Mall and North Terrace accessible entries.; Create a quiet Adelaide city rest-stop list.,Capital starter guide drafted
WA,Perth,Capital,/guides/wa/perth-accessibility-guide,Capital launch,"Perth requires a guide that links long-distance city travel, rail stations, riverfront areas, beaches, hospitals and accessible parking into realistic itineraries.",Create a Perth CBD to Elizabeth Quay access loop.; Verify Optus Stadium and event-day transport access.; Map accessible beach infrastructure across metro beaches.,Capital starter guide drafted
TAS,Hobart,Capital,/guides/tas/hobart-accessibility-guide,Capital launch,"Hobart’s hills, heritage buildings, waterfront and compact visitor core make it a guide where gradients and entrance details matter as much as destination lists.","Map Hobart waterfront to Salamanca step-free options.; Create a hills and gradients warning layer for the CBD.; Verify museum, market and ferry-adjacent access details.",Capital starter guide drafted
NT,Darwin,Capital,/guides/nt/darwin-accessibility-guide,Capital launch,"Darwin needs a heat-aware, wet-season-aware guide that connects buses, accessible taxis, waterfront spaces, cultural venues, parks and regional gateways.","Create a Darwin Waterfront access and shade route.; Verify CBD to waterfront path surfaces and rest points.; Build a Top End visitor access checklist for heat, toilets and transport.",Capital starter guide drafted
NSW,Newcastle,Regional city,/guides/nsw/newcastle-accessibility-guide,Tier 1,"Beach, light rail, hospitals and waterfront access","Verify beach mats/wheelchairs, light rail stops, waterfront toilets",Needs local verification
NSW,Wollongong,Regional city,/guides/nsw/wollongong-accessibility-guide,Tier 1,"Coastal paths, university, hospital and beach access","Map coastal path gradients, accessible beaches, station-to-hospital routes",Needs local verification
NSW,Central Coast / Gosford,Regional area,/guides/nsw/central-coast-accessibility-guide,Tier 1,"Train-linked day trips, beaches and health precincts","Verify station access, accessible beaches, parking and toilets",Needs local verification
NSW,Coffs Harbour,Regional town,/guides/nsw/coffs-harbour-accessibility-guide,Tier 2,Coastal tourism and regional services,"Map beach access, marina routes, accessible accommodation cluster",Needs local verification
NSW,Port Macquarie,Regional town,/guides/nsw/port-macquarie-accessibility-guide,Tier 2,Accessible coastal tourism and health services,"Verify coastal walk alternatives, accessible toilets, hospital access",Needs local verification
NSW,Tamworth,Regional town,/guides/nsw/tamworth-accessibility-guide,Tier 2,"Events, country music venues and regional transport","Audit event venues, accommodation, accessible parking",Needs local verification
NSW,Dubbo,Regional city,/guides/nsw/dubbo-accessibility-guide,Tier 2,"Zoo, health services and western NSW hub","Verify zoo access, accessible taxis, hospital precinct",Needs local verification
NSW,Orange,Regional town,/guides/nsw/orange-accessibility-guide,Tier 3,"Food, wine, hospital and heritage precincts","Map accessible dining, gradients, toilets",Needs local verification
NSW,Wagga Wagga,Regional city,/guides/nsw/wagga-wagga-accessibility-guide,Tier 2,"Riverina health, education and transport hub","Verify station, hospital, civic precinct and river paths",Needs local verification
NSW,Albury,Regional city,/guides/nsw/albury-accessibility-guide,Tier 2,Cross-border access with Wodonga,"Map rail/coach, river paths, hospital and civic routes",Needs local verification
NSW,Bathurst,Regional town,/guides/nsw/bathurst-accessibility-guide,Tier 3,"Events, university and heritage access","Audit event venues, heritage entrances, toilets",Needs local verification
NSW,Lismore / Byron Bay,Regional area,/guides/nsw/lismore-byron-accessibility-guide,Tier 2,Flood-aware services and accessible tourism,"Map evacuation-aware facilities, beach access, transport gaps",Needs local verification
VIC,Geelong,Regional city,/guides/vic/geelong-accessibility-guide,Tier 1,"Waterfront, hospitals and Bellarine gateway","Verify waterfront paths, station access, beach infrastructure",Needs local verification
VIC,Ballarat,Regional city,/guides/vic/ballarat-accessibility-guide,Tier 1,"Heritage, events and regional rail access","Map gradients, heritage entries, station-to-CBD routes",Needs local verification
